dataset_id,dataset_version,label_space_id,processed_label_id,native_label_id,official_or_package_label_name,canonical_code,task_type,action,body_segment,laterality,granularity,provenance_status,notes
physionet_hyser,1.0.0,hyser_processed_0_based,15,16,UNKNOWN_16,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,16,17,UNKNOWN_17,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,17,18,UNKNOWN_18,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,18,19,UNKNOWN_19,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,19,20,UNKNOWN_20,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,20,21,UNKNOWN_21,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,21,22,UNKNOWN_22,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,22,23,UNKNOWN_23,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,23,24,UNKNOWN_24,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,24,25,UNKNOWN_25,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,25,26,UNKNOWN_26,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,26,27,UNKNOWN_27,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,27,28,UNKNOWN_28,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,28,29,UNKNOWN_29,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,29,30,UNKNOWN_30,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,30,31,UNKNOWN_31,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,31,32,UNKNOWN_32,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,32,33,UNKNOWN_33,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,33,34,UNKNOWN_34,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
